date,hour,weather,temp,atemp,humidity,windspeed
2011-01-01,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",9.84,14.395,81.0,0.0
2011-01-01,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",9.02,13.635,80.0,0.0
2011-01-01,2,"Clear, Few clouds, Partly cloudy, Partly cloudy",9.02,13.635,80.0,0.0
2011-01-01,3,"Clear, Few clouds, Partly cloudy, Partly cloudy",9.84,14.395,75.0,0.0
2011-01-01,4,"Clear, Few clouds, Partly cloudy, Partly cloudy",9.84,14.395,75.0,0.0
2011-01-01,5,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",9.84,12.88,75.0,6.003
2011-01-01,6,"Clear, Few clouds, Partly cloudy, Partly cloudy",9.02,13.635,80.0,0.0
2011-01-01,7,"Clear, Few clouds, Partly cloudy, Partly cloudy",8.2,12.88,86.0,0.0
2011-01-01,8,"Clear, Few clouds, Partly cloudy, Partly cloudy",9.84,14.395,75.0,0.0
2011-01-01,9,"Clear, Few clouds, Partly cloudy, Partly cloudy",13.12,17.425,76.0,0.0
2011-01-01,10,"Clear, Few clouds, Partly cloudy, Partly cloudy",15.58,19.695,76.0,16.998
2011-01-01,11,"Clear, Few clouds, Partly cloudy, Partly cloudy",14.76,16.665,81.0,19.001
2011-01-01,12,"Clear, Few clouds, Partly cloudy, Partly cloudy",17.22,21.21,77.0,19.001
2011-01-01,13,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",18.86,22.725,72.0,19.999
2011-01-01,14,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",18.86,22.725,72.0,19.001
2011-01-01,15,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",18.04,21.97,77.0,19.999
2011-01-01,16,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",17.22,21.21,82.0,19.999
2011-01-01,17,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",18.04,21.97,82.0,19.001
2011-01-01,18,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",17.22,21.21,88.0,16.998
2011-01-01,19,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",17.22,21.21,88.0,16.998
2011-01-01,20,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",16.4,20.455,87.0,16.998
2011-01-01,21,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",16.4,20.455,87.0,12.998
2011-01-01,22,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",16.4,20.455,94.0,15.001
2011-01-01,23,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",18.86,22.725,88.0,19.999
